internal_ref_1,internal_ref_2,sample_name,K,K_unit,Mg,Mg_unit,P,P_unit
R108514 ,2207-E0108514,ERM BB 384 Standard - Feces,1.64,%,1017,mg/kg,9091,mg/kg
R108515 ,2207-E0108515,F-5219404-925-i10-1 Panthera leo - Feces,4357,mg/kg,5009,mg/kg,7.94,%
R108516 ,2207-E0108516,F-2436424-103-i1-1 Varecia variegata - Feces,1.04,%,1485,mg/kg,5135,mg/kg
R108517 ,2207-E0108517,F-5219404-925-i14-1 Panthera leo - Feces,841,mg/kg,2898,mg/kg,7.12,%
R108518 ,2207-E0108518,F-9092265-103-g1-1 Eulemur fulvus - Feces,2.15,%,3771,mg/kg,8784,mg/kg
R108519 ,2207-E0108519,F-5219884-103-g1-1 Hystrix indica - Feces,5835,mg/kg,3030,mg/kg,7417,mg/kg
R108520 ,2207-E0108520,F-5219404-925-i6-1 Panthera leo - Feces,1616,mg/kg,6810,mg/kg,10.5,%
R108521 ,2207-E0108521,F-5219884-103-g2-1 Hystrix indica - Feces,5134,mg/kg,2758,mg/kg,7185,mg/kg
R108522 ,2207-E0108522,F-5219404-925-i12-1 Panthera leo - Feces,1874,mg/kg,8859,mg/kg,9.16,%
R108523 ,2207-E0108523,F-2436424-103-i2-1 Varecia variegata - Feces,1.68,%,3288,mg/kg,2183,mg/kg
R108524 ,2207-E0108524,F-5219436-925-i2-1 Panthera pardus - Feces,2472,mg/kg,8827,mg/kg,6.53,%
R108525 ,2207-E0108525,F-5219416-925-i1-1 Panthera tigris - Feces,872,mg/kg,1.05,%,9.28,%
R108526 ,2207-E0108526,F-5219416-925-i4-1 Panthera tigris - Feces,2868,mg/kg,7664,mg/kg,8.32,%
R108527 ,2207-E0108527,F-5219404-925-i11-1 Panthera leo - Feces,1245,mg/kg,4059,mg/kg,9.39,%
R108528 ,2207-E0108528,F-5219404-925-i4-1 Panthera leo - Feces,1695,mg/kg,6085,mg/kg,4.84,%
R108529 ,2207-E0108529,F-5219404-637-i1-1 Panthera leo - Feces,1209,mg/kg,2041,mg/kg,3.35,%
R108530 ,2207-E0108530,F-9092265-103-i1-1 Eulemur fulvus - Feces,3.25,%,2711,mg/kg,5248,mg/kg
R108531 ,2207-E0108531,F-5219404-925-i1-1 Panthera leo - Feces,2136,mg/kg,8755,mg/kg,8.4,%
R108532 ,2207-E0108532,F-5219416-925-i2-1 Panthera tigris - Feces,2709,mg/kg,6093,mg/kg,3.67,%
R108533 ,2207-E0108533,F-5219436-925-i1-1 Panthera pardus - Feces,2140,mg/kg,6176,mg/kg,4.09,%
R108534 ,2207-E0108534,F-5219404-925-i5-1 Panthera leo - Feces,1376,mg/kg,5894,mg/kg,7.92,%
R108535 ,2207-E0108535,F-5219404-637-i2-1 Panthera leo - Feces,1280,mg/kg,1.25,%,7.73,%
R108536 ,2207-E0108536,F-5219404-925-i3-1 Panthera leo - Feces,2108,mg/kg,7561,mg/kg,6.94,%
R108537 ,2207-E0108537,F-2433451-909-i1-1 Ursus maritimus - Feces,1.3,%,1036,mg/kg,1.09,%
R108538 ,2207-E0108538,F-5219404-925-i2-1 Panthera leo - Feces,1480,mg/kg,2897,mg/kg,7.83,%
R108539 ,2207-E0108539,F-5219404-925-i7-1 Panthera leo - Feces,1890,mg/kg,8815,mg/kg,5.79,%
R108540 ,2207-E0108540,F-2433451-909-i2-1 Ursus maritimus - Feces,2.81,%,764,mg/kg,4368,mg/kg
R108541 ,2207-E0108541,F-5219404-925-i9-1 Panthera leo - Feces,959,mg/kg,4000,mg/kg,8.24,%
R108542 ,2207-E0108542,F-5219416-925-i3-1 Panthera tigris - Feces,1204,mg/kg,3342,mg/kg,8.17,%
R108543 ,2207-E0108543,F-5220166-103-i3-1 Oryx gazella - Feces,1879,mg/kg,3568,mg/kg,5028,mg/kg
R108544 ,2207-E0108544,F-2464899-800-i1-1 Boa constrictor - Feces,2064,mg/kg,3986,mg/kg,5.93,%
R108545 ,2207-E0108545,F-2435350-103-i1-1 Loxodonta africana - Feces,4.77,%,4556,mg/kg,1.05,%
R108546 ,2207-E0108546,F-9529916-800-g1-1 Bufotes viridis - Feces,2220,mg/kg,679,mg/kg,8318,mg/kg
R108547 ,2207-E0108547,F-2441042-103-g1-1 Damaliscus pygargus - Feces,4539,mg/kg,3912,mg/kg,7853,mg/kg
R108548 ,2207-E0108548,F-2440892-103-g1-1 Equus quagga - Feces,2.39,%,1831,mg/kg,6305,mg/kg
R108549 ,2207-E0108549,F-2435270-103-i2-1 Acinonyx jubatus - Feces,3718,mg/kg,7360,mg/kg,6.81,%
R108550 ,2207-E0108550,F-5218844-568-g1-1 Martes flavigula - Feces,7461,mg/kg,2934,mg/kg,5.09,%
R108551 ,2207-E0108551,F-9306956-103-i1-1 Giraffa giraffa angolensis - Feces,1.37,%,2905,mg/kg,8214,mg/kg
R108552 ,2207-E0108552,F-5219446-568-g1-1 Ailurus fulgens - Feces,1.31,%,1663,mg/kg,4890,mg/kg
R108553 ,2207-E0108553,F-6161340-800-g1-1 Natrix maura - Feces,1.79,%,2471,mg/kg,5557,mg/kg
R108554 ,2207-E0108554,F-5220165-103-g3-1 Oryx dammah - Feces,2163,mg/kg,5058,mg/kg,8663,mg/kg
R108555 ,2207-E0108555,F-2441030-103-i1-1 Hippotragus equinus - Feces,1.08,%,3337,mg/kg,5903,mg/kg
R108556 ,2207-E0108556,F-2441105-103-g1-1 Connochaetes taurinus - Feces,1.18,%,3770,mg/kg,5313,mg/kg
R108557 ,2207-E0108557,F-2440892-103-i1-1 Equus quagga - Feces,1.74,%,1939,mg/kg,5508,mg/kg
R108558 ,2207-E0108558,F-2441105-103-g2-1 Connochaetes taurinus - Feces,1.29,%,3893,mg/kg,6683,mg/kg
R108559 ,2207-E0108559,F-9306956-103-i2-1 Giraffa giraffa angolensis - Feces,6532,mg/kg,2851,mg/kg,7193,mg/kg
R108560 ,2207-E0108560,F-5220160-103-i1-1 Kobus ellipsiprymnus - Feces,1.38,%,2813,mg/kg,5868,mg/kg
R108561 ,2207-E0108561,F-2441247-103-i1-1 Hippopotamus amphibius - Feces,1.42,%,1442,mg/kg,1647,mg/kg
R108562 ,2207-E0108562,F-2440894-800-i-1 Equus grevyi - Feces,1.48,%,1531,mg/kg,2806,mg/kg
R108563 ,2207-E0108563,F-2441030-103-g1-1 Hippotragus equinus - Feces,1.76,%,3431,mg/kg,6098,mg/kg
R108564 ,2207-E0108564,F-2441105-103-i1-1 Connochaetes taurinus - Feces,1.17,%,4304,mg/kg,9263,mg/kg
R108565 ,2207-E0108565,F-2434126-103-i1-1 Suricata suricatta - Feces,1.81,%,1179,mg/kg,697,mg/kg
R108566 ,2207-E0108566,F-2435350-103-i3-1 Loxodonta africana - Feces,1.45,%,1823,mg/kg,3241,mg/kg
R108567 ,2207-E0108567,F-5219426-800-i-1 Panthera onca - Feces,598,mg/kg,2011,mg/kg,5.28,%
R108568 ,2207-E0108568,F-5220166-103-i1-1 Oryx gazella - Feces,7422,mg/kg,4070,mg/kg,7892,mg/kg
R108569 ,2207-E0108569,F-2441225-568-g1-1 Potamochoerus porcus - Feces,1.11,%,3078,mg/kg,1.43,%
R108570 ,2207-E0108570,F-2433480-800-i1-1 Arctocephalus australis - Feces,1351,mg/kg,9234,mg/kg,10.6,%
R108571 ,2207-E0108571,F-2460820-619-i1-1 Heloderma horridum - Feces,2231,mg/kg,758,mg/kg,2.43,%
R108572 ,2207-E0108572,F-2438569-568-g1-1 Phloeomys pallidus - Feces,1.79,%,3527,mg/kg,1.75,%
R108573 ,2207-E0108573,F-5220160-103-g2-1 Kobus ellipsiprymnus - Feces,1.8,%,3119,mg/kg,5357,mg/kg
R108574 ,2207-E0108574,F-2440880-800-i-1 Ceratotherium simum - Feces,1.45,%,1089,mg/kg,2144,mg/kg
R108575 ,2207-E0108575,F-2435023-568-i1-1 Felis manul - Feces,1500,mg/kg,4427,mg/kg,5.5,%
R108576 ,2207-E0108576,F-2435270-103-g1-1 Acinonyx jubatus - Feces,3564,mg/kg,6080,mg/kg,6.01,%
R108577 ,2207-E0108577,F-5221988-800-i1-1 Furcifer pardalis - Feces,1.7,%,1287,mg/kg,8666,mg/kg
R108578 ,2207-E0108578,F-5219446-103-g1-1 Ailurus fulgens - Feces,1.05,%,1300,mg/kg,410,mg/kg
R108579 ,2207-E0108579,F-2435350-103-i2-1 Loxodonta africana - Feces,1.89,%,1903,mg/kg,5311,mg/kg
R108580 ,2207-E0108580,F-2436441-925-i1-1 Gorilla gorilla - Feces,1.21,%,3020,mg/kg,1.4,%
R108581 ,2207-E0108581,F-9306956-103-i3-1 Giraffa giraffa angolensis - Feces,6815,mg/kg,2850,mg/kg,7924,mg/kg
R108582 ,2207-E0108582,F-5225715-103-i1-1 Aspidites ramsayi - Feces,2.47,%,356,mg/kg,525,mg/kg
R108583 ,2207-E0108583,F-2495150-103-g1-1 Struthio camelus - Feces,1.43,%,3691,mg/kg,6961,mg/kg
R108584 ,2207-E0108584,F-5219426-800-i-3 Panthera onca - Feces,1097,mg/kg,5883,mg/kg,11.3,%
R108585 ,2207-E0108585,F-2465380-299-i3-1 Python regius - Feces,9050,mg/kg,3179,mg/kg,4.87,%
R108586 ,2207-E0108586,F-5219439-568-i1-1 Panthera pardus japonensis - Feces,919,mg/kg,1392,mg/kg,3.8,%
R108587 ,2207-E0108587,F-2434126-103-g1-1 Suricata suricatta - Feces,9660,mg/kg,1883,mg/kg,1567,mg/kg
R108588 ,2207-E0108588,F-5219404-103-g1-1 Panthera leo - Feces,2002,mg/kg,8558,mg/kg,8.78,%
R108589 ,2207-E0108589,F-5220166-103-i2-1 Oryx gazella - Feces,6680,mg/kg,3179,mg/kg,7761,mg/kg
R108590 ,2207-E0108590,F-5220162-103-g1-1 Kobus leche - Feces,1.73,%,3099,mg/kg,1.01,%
R108591 ,2207-E0108591,F-5960862-800-i1-1 Vipera berus - Feces,2.58,%,3496,mg/kg,4.39,%
R108592 ,2207-E0108592,F-5219293-568-i1-1 Vulpes corsac - Feces,7276,mg/kg,2354,mg/kg,1.37,%
R108593 ,2207-E0108593,F-5219426-103-i1-1 Panthera onca - Feces,1670,mg/kg,1.73,%,12.1,%
R108594 ,2207-E0108594,F-5219420-103-i2-1 Panthera tigris altaica - Feces,994,mg/kg,5413,mg/kg,12.8,%
R108595 ,2207-E0108595,F-5219426-800-i-2 Panthera onca - Feces,7529,mg/kg,2139,mg/kg,4334,mg/kg
R108596 ,2207-E0108596,F-2465380-299-i2-1 Python regius - Feces,2967,mg/kg,3743,mg/kg,6.87,%
R108597 ,2207-E0108597,F-5219420-103-i1-1 Panthera tigris altaica - Feces,1605,mg/kg,7011,mg/kg,13.5,%
R108598 ,2207-E0108598,F-2465128-800-i1-1 Sanzinia madagascariensis - Feces,5006,mg/kg,6053,mg/kg,2.28,%
R108599 ,2207-E0108599,F-5787061-103-g1-1 Tragelaphus oryx - Feces,7391,mg/kg,5920,mg/kg,8087,mg/kg
R108600 ,2207-E0108600,F-5217956-800-i1-1 Trachycephalus resinifictrix - Feces,1.33,%,2140,mg/kg,11207,mg/kg
R108601 ,2207-E0108601,F-2465380-299-i1-1 Python regius - Feces,1.02,%,3870,mg/kg,6.92,%
R108602 ,2207-E0108602,F-5219446-925-i2-1 Ailurus fulgens - Feces,9955,mg/kg,2196,mg/kg,8586,mg/kg
R108603 ,2207-E0108603,F-2465380-299-i4-1 Python regius - Feces,4324,mg/kg,4906,mg/kg,7.07,%
R108604 ,2207-E0108604,F-5220164-568-g1-1 Oryx leucoryx - Feces,2345,mg/kg,2712,mg/kg,4237,mg/kg
R108605 ,2207-E0108605,F-5220192-925-i1-1 Vicugna vicugna - Feces,8712,mg/kg,6750,mg/kg,1.44,%
R108606 ,2207-E0108606,F-2434444-800-i1-1 Speothos venaticus - Feces,3951,mg/kg,4831,mg/kg,2.12,%
R108607 ,2207-E0108607,F-249513-568-g1-1 Dromaius novaehollandiae - Feces,2.34,%,4110,mg/kg,2120,mg/kg
R108608 ,2207-E0108608,F-2435296-800-i1-1 Trichechus manatus - Feces,5976,mg/kg,4256,mg/kg,1.34,%
R108609 ,2207-E0108609,F-9055455-103-g1-1 Camelus dromedarius - Feces,1.78,%,2773,mg/kg,5144,mg/kg
R108610 ,2207-E0108610,F-2435238-568-g1-1 Uncia uncia - Feces,1013,mg/kg,3147,mg/kg,2.84,%
R108611 ,2207-E0108611,F-2440940-637-i1-1 Alces alces - Feces,2063,mg/kg,5711,mg/kg,9511,mg/kg
R108612 ,2207-E0108612,F-2495150-823-i-1 Struthio camelus - Feces,9529,mg/kg,7419,mg/kg,6264,mg/kg
R108613 ,2207-E0108613,F-2436441-925-i4-1 Gorilla gorilla - Feces,7712,mg/kg,3353,mg/kg,1.08,%
R108614 ,2207-E0108614,F-2441055-927-i1-1 Capra ibex - Feces,3755,mg/kg,2157,mg/kg,6693,mg/kg
R108615 ,2207-E0108615,F-5220165-103-g1-1 Oryx dammah - Feces,4815,mg/kg,5027,mg/kg,9033,mg/kg
R108616 ,2207-E0108616,F-5220165-103-g2-1 Oryx dammah - Feces,1704,mg/kg,5051,mg/kg,8194,mg/kg
R108617 ,2207-E0108617,F-5220160-103-g1-1 Kobus ellipsiprymnus - Feces,1.58,%,3853,mg/kg,6280,mg/kg
R108618 ,2207-E0108618,F-2440894-823-i-1 Equus grevyi - Feces,1.06,%,1859,mg/kg,2988,mg/kg
R108619 ,2207-E0108619,F-6066824-637-i1-1 Erethizon dorsatus - Feces,7198,mg/kg,5528,mg/kg,2.22,%
R108620 ,2207-E0108620,F-2434450-925-i1-1 Chrysocyon brachyurus - Feces,5773,mg/kg,2979,mg/kg,1.67,%
R108622 ,2207-E0108622,F-2441205-800-g1-1 Giraffa camelopardalis - Feces,7408,mg/kg,3354,mg/kg,7952,mg/kg
R108623 ,2207-E0108623,F-5219362-927-i1-1 Genetta genetta - Feces,183,mg/kg,788,mg/kg,1.5,%
R108624 ,2207-E0108624,F-5220190-103-g1-1 Lama glama - Feces,7085,mg/kg,3252,mg/kg,4667,mg/kg
R108625 ,2207-E0108625,F-2440880-925-i2-1 Ceratotherium simum - Feces,9071,mg/kg,1414,mg/kg,4195,mg/kg
R108626 ,2207-E0108626,F-2435350-103-i4-1 Loxodonta africana - Feces,1.94,%,2104,mg/kg,5256,mg/kg
R108627 ,2207-E0108627,F-2434615-637-i1-1 Arctictis binturong - Feces,2.42,%,3148,mg/kg,2.38,%
R108628 ,2207-E0108628,F-5219446-637-i1-1 Ailurus fulgens - Feces,1.28,%,2263,mg/kg,3122,mg/kg
R108629 ,2207-E0108629,F-2441215-568-g1-1 Sus cebifrons - Feces,1.11,%,4084,mg/kg,1.55,%
R108630 ,2207-E0108630,F-2441205-925-i3-1 Giraffa camelopardalis - Feces,5472,mg/kg,2699,mg/kg,5045,mg/kg
R108631 ,2207-E0108631,F-2433536-103-g1-1 Nasua nasua - Feces,5781,mg/kg,4054,mg/kg,1.78,%
R108632 ,2207-E0108632,F-2441050-568-g1-1 Capra falconeri - Feces,4221,mg/kg,3049,mg/kg,7159,mg/kg
R108633 ,2207-E0108633,F-5219446-637-i2-1 Ailurus fulgens - Feces,1.17,%,2394,mg/kg,734,mg/kg
R108634 ,2207-E0108634,F-2436346-909-i1-1 Myrmecophaga tridactyla - Feces,6207,mg/kg,2233,mg/kg,1.41,%
R108635 ,2207-E0108635,F-5219963-103-g1-1 Macropus rufus - Feces,5983,mg/kg,3417,mg/kg,6290,mg/kg
R108636 ,2207-E0108636,F-8285095-103-g1-1 Salvator rufescens - Feces,1.34,%,235,mg/kg,653,mg/kg
R108637 ,2207-E0108637,F-5219446-925-i1-1 Ailurus fulgens - Feces,1.03,%,2194,mg/kg,7922,mg/kg
R108638 ,2207-E0108638,F-2441019-103-g1-1 Bos grunniens - Feces,2121,mg/kg,3112,mg/kg,4491,mg/kg
R108639 ,2207-E0108639,F-2436346-909-i2-1 Myrmecophaga tridactyla - Feces,3940,mg/kg,1810,mg/kg,7885,mg/kg
R108640 ,2207-E0108640,F-2441008-568-g1-1 Pseudois nayaur - Feces,2288,mg/kg,2823,mg/kg,4939,mg/kg
R108641 ,2207-E0108641,F-5218887-927-i1-1 Martes foina - Feces,4645,mg/kg,2416,mg/kg,2.98,%
R108642 ,2207-E0108642,F-2436441-925-i2-1 Gorilla gorilla - Feces,8821,mg/kg,2585,mg/kg,8687,mg/kg
R108643 ,2207-E0108643,F-2440911-637-i1-1 Pudu puda - Feces,1329,mg/kg,6921,mg/kg,9298,mg/kg
R108644 ,2207-E0108644,F-5219446-637-i3-1 Ailurus fulgens - Feces,1.97,%,3695,mg/kg,9992,mg/kg
R108645 ,2207-E0108645,F-2437582-568-g1-1 Dasyprocta azarae - Feces,2.34,%,4096,mg/kg,2.19,%
R108646 ,2207-E0108646,F-2441533-103-g1-1 Centrochelys sulcata - Feces,6.02,%,3414,mg/kg,5821,mg/kg
R108647 ,2207-E0108647,F-2495134-103-g1-1 Dromaius novaehollandiae - Feces,2.93,%,2935,mg/kg,4041,mg/kg
R108648 ,2207-E0108648,F-2423146-619-g1-1 Rhaebo guttatus - Feces,1.73,%,2304,mg/kg,1.6,%
R108649 ,2207-E0108649,F-9055455-103-i2-1 Camelus dromedarius - Feces,1.58,%,2110,mg/kg,5615,mg/kg
R108650 ,2207-E0108650,F-1866570-334-i2-1 Antheraea pylyphemus - Feces,4571,mg/kg,1604,mg/kg,1105,mg/kg
R108651 ,2207-E0108651,F-2468542-800-i1-1 Timon lepidus - Feces,1.41,%,5221,mg/kg,1.58,%
R108652 ,2207-E0108652,F-2441454-800-g1-1 Lestudo hermanni - Feces,3586,mg/kg,1.11,%,3.26,%
R108653 ,2207-E0108653,F-5220113-909-i2-1 Rhinoceros unicornis - Feces,1.61,%,1787,mg/kg,4631,mg/kg
R108654 ,2207-E0108654,F-2441064-823-i-1 Antidorcas marsupialis - Feces,3689,mg/kg,6789,mg/kg,7713,mg/kg
R108655 ,2207-E0108655,F-2466109-103-g1-1 Uromastyx acanthinura - Feces,3256,mg/kg,1176,mg/kg,2243,mg/kg
R108656 ,2207-E0108656,F-2440946-637-i1-1 Muntiacus reevesi - Feces,2249,mg/kg,7260,mg/kg,8710,mg/kg
R108657 ,2207-E0108657,F-2435350-909-i2-1 Loxodonta africana - Feces,1.02,%,1563,mg/kg,3251,mg/kg
R108658 ,2207-E0108658,F-5219981-568-g1-1 Macropus giganteus - Feces,7264,mg/kg,2279,mg/kg,3959,mg/kg
R108659 ,2207-E0108659,F-2434450-925-i2-1 Chrysocyon brachyurus - Feces,1.48,%,6110,mg/kg,9020,mg/kg
R108660 ,2207-E0108660,F-2441105-823-i-1 Connochaetes taurinus - Feces,1.75,%,5809,mg/kg,4499,mg/kg
R108661 ,2207-E0108661,F-2441205-925-i1-1 Giraffa camelopardalis - Feces,6572,mg/kg,4176,mg/kg,9199,mg/kg
R108662 ,2207-E0108662,F-2440880-823-i2-1 Ceratotherium simum - Feces,8004,mg/kg,1182,mg/kg,1838,mg/kg
R108663 ,2207-E0108663,F-4267377-568-g1-1 Equus caballus przewalskii - Feces,1.65,%,2076,mg/kg,3806,mg/kg
R108664 ,2207-E0108664,F-2435350-909-i1-1 Loxodonta africana - Feces,1.09,%,1310,mg/kg,3256,mg/kg
R108665 ,2207-E0108665,F-2441151-568-g1-1 Oreamnos americanus - Feces,2564,mg/kg,3269,mg/kg,7436,mg/kg
R108666 ,2207-E0108666,F-7261419-568-g1-1 Na emorhedus griseus - Feces,2494,mg/kg,3071,mg/kg,5192,mg/kg
R108667 ,2207-E0108667,F-2440946-208-i1-1 Muntiacus reevesi - Feces,6564,mg/kg,6091,mg/kg,7718,mg/kg
R108668 ,2207-E0108668,F-2435350-925-i1-1 Loxodonta africana - Feces,6751,mg/kg,1233,mg/kg,1983,mg/kg
R108669 ,2207-E0108669,F-2495150-800-g1-1 Struthio camelus - Feces,1.41,%,2030,mg/kg,7812,mg/kg
R108670 ,2207-E0108670,F-4262671-568-g1-1 Budorcas taxicolor tibetana - Feces,3551,mg/kg,5139,mg/kg,6632,mg/kg
R108671 ,2207-E0108671,F-5219534-823-i2-1 Pan troglodytes - Feces,3.31,%,6936,mg/kg,2.82,%
R108672 ,2207-E0108672,F-2495200-568-g1-1 Goura sclateri - Feces,1.24,%,2444,mg/kg,5215,mg/kg
R108673 ,2207-E0108673,F-2441205-925-i2-1 Giraffa camelopardalis - Feces,6956,mg/kg,4477,mg/kg,6965,mg/kg
R108674 ,2207-E0108674,F-9055455-103-i1-1 Camelus dromedarius - Feces,1.4,%,2187,mg/kg,5755,mg/kg
R108675 ,2207-E0108675,F-2495165-103-g1-1 Rhea americana - Feces,1.21,%,4717,mg/kg,9542,mg/kg
R108676 ,2207-E0108676,F-5220113-909-i1-1 Rhinoceros unicornis - Feces,1.09,%,779,mg/kg,2922,mg/kg
R108677 ,2207-E0108677,F-5219984-925-i1-1 Macropus parma - Feces,1.98,%,2366,mg/kg,5640,mg/kg
R108678 ,2207-E0108678,F-2476041-800-i1-1 Bucorvus leadbeateri - Feces,1.47,%,6587,mg/kg,2.04,%
R108679 ,2207-E0108679,F-4262588-568-g1-1 Bos frontalis gaurus - Feces,3554,mg/kg,1146,mg/kg,1219,mg/kg
R108680 ,2207-E0108680,F-5218887-927-i2-1 Martes foina - Feces,3607,mg/kg,4136,mg/kg,3.98,%
R108681 ,2207-E0108681,F-4262535-568-g1-1 Ovis aries arkal - Feces,3682,mg/kg,2239,mg/kg,5767,mg/kg
R108682 ,2207-E0108682,F-2434615-637-i2-1 Arctictis binturong - Feces,4.03,%,2367,mg/kg,2129,mg/kg
R108683 ,2207-E0108683,F-5220183-800-g1-1 Tragelaphus strepsiceros - Feces,7166,mg/kg,4547,mg/kg,6353,mg/kg
R108684 ,2207-E0108684,F-2440880-823-i1-1 Ceratotherium simum - Feces,7114,mg/kg,1344,mg/kg,1990,mg/kg
R108685 ,2207-E0108685,F-2437619-103-g1-1 Dolichotis patagonum - Feces,4796,mg/kg,2123,mg/kg,6106,mg/kg
R108686 ,2207-E0108686,F-2441030-823-i-1 Hippotragus equinus - Feces,1.4,%,5988,mg/kg,3456,mg/kg
R108687 ,2207-E0108687,F-2440196-103-g1-1 Macropus rufogriseus - Feces,1,%,2609,mg/kg,8303,mg/kg
R108688 ,2207-E0108688,F-2440898-103-g1-1 Tapirus terrestris - Feces,1.42,%,2117,mg/kg,8315,mg/kg
R108689 ,2207-E0108689,F-7549160-103-g1-1 Sapajus xanthosternos - Feces,1.41,%,2302,mg/kg,1296,mg/kg
R108690 ,2207-E0108690,F-2468542-800-g1-1 Timon lepidus - Feces,1.16,%,1959,mg/kg,3.77,%
R108691 ,2207-E0108691,F-7818962-568-i1-1 Acrocodia indica - Feces,3574,mg/kg,1049,mg/kg,2689,mg/kg
R108692 ,2207-E0108692,F-2440880-925-i1-1 Ceratotherium simum - Feces,7372,mg/kg,890,mg/kg,3220,mg/kg
R108693 ,2207-E0108693,F-2441022-103-g1-1 Bos taurus - Feces,4734,mg/kg,4142,mg/kg,5039,mg/kg
R108694 ,2207-E0108694,F-2441022-925-i1-1 Bos taurus - Feces,8956,mg/kg,1651,mg/kg,5394,mg/kg
R108695 ,2207-E0108695,F-5963045-925-i2-1 Colobus guereza - Feces,1.09,%,4653,mg/kg,1.45,%
R108696 ,2207-E0108696,F-5219534-823-i1-1 Pan troglodytes - Feces,2.39,%,6564,mg/kg,2.42,%
R108697 ,2207-E0108697,F-5963045-925-i1-1 Colobus guereza - Feces,1.16,%,3586,mg/kg,1.39,%
R108698 ,2207-E0108698,F-1866570-334-i1-1 Antheraea polyphemus - Feces,7360,mg/kg,1804,mg/kg,1145,mg/kg
R108699 ,2207-E0108699,F-5220162-925-i1-1 Kobus leche - Feces,1.19,%,5937,mg/kg,1.12,%
R108700 ,2207-E0108700,F-2436441-925-i3-1 Gorilla gorilla - Feces,1.45,%,2957,mg/kg,9714,mg/kg
R108701 ,2207-E0108701,F-2436481-800-g1-1 Leontopithecus chrysomelas - Feces,4665,mg/kg,2627,mg/kg,1.16,%
R108702 ,2207-E0108702,F-5219303-925-i1-1 Vulpes lagopus - Feces,2641,mg/kg,5201,mg/kg,8.3,%
