Herbivores,Days,MBC_mg/g
Cattle,0,19.614
Cattle,0,39.711
Cattle,0,34.441
Cattle,0,18.879
Cattle,0,28.653
Cattle,60,8.889
Cattle,60,3.48
Cattle,60,7.263
Cattle,60,10.579
Cattle,60,2.856
Cattle,120,15.502
Cattle,120,13.629
Cattle,120,9.359
Cattle,120,-1.031
Cattle,120,5.979
Sheep,0,8.927
Sheep,0,15.505
Sheep,0,11.427
Sheep,0,16.526
Sheep,0,13.538
Sheep,60,7.16
Sheep,60,1.304
Sheep,60,2.713
Sheep,60,13.488
Sheep,60,7.601
Sheep,120,8.492
Sheep,120,15.369
Sheep,120,3.361
Sheep,120,7.49
Sheep,120,10.059