;Spider;Treatment;Weight_mg;Method;N_Area;C_Area;N_Factor;C_Factor;obs_ID;animal_group;component_name;component_mean
1;WF16;100:00:00;4.0599;2mgChem80s;20 109;41 546;0.967;1.0032;1;34;C;43.86
2;WF16;100:00:00;4.0599;2mgChem80s;20 109;41 546;0.967;1.0032;1;34;N;14.52
3;WF16;100:00:00;4.0599;2mgChem80s;20 109;41 546;0.967;1.0032;1;34;CN_ratio;3.0212
4;WF10;100:00:00;2.2078;2mgChem80s;11 910;21 716;0.967;1.0032;2;29;C;42.35
5;WF10;100:00:00;2.2078;2mgChem80s;11 910;21 716;0.967;1.0032;2;29;N;15.88
6;WF10;100:00:00;2.2078;2mgChem80s;11 910;21 716;0.967;1.0032;2;29;CN_ratio;2.6667
7;WF7;100:00:00;3.0699;2mgChem80s;14 733;31 405;0.967;1.0032;3;47;C;43.94
8;WF7;100:00:00;3.0699;2mgChem80s;14 733;31 405;0.967;1.0032;3;47;N;14.1
9;WF7;100:00:00;3.0699;2mgChem80s;14 733;31 405;0.967;1.0032;3;47;CN_ratio;3.1157
10;W17;100:00:00;1.8952;2mgChem80s;8 937;18 392;0.967;1.0032;4;16;C;41.83
11;W17;100:00:00;1.8952;2mgChem80s;8 937;18 392;0.967;1.0032;4;16;N;13.91
12;W17;100:00:00;1.8952;2mgChem80s;8 937;18 392;0.967;1.0032;4;16;CN_ratio;3.0061
13;WF4;100:00:00;2.1108;2mgChem80s;12 149;20 243;0.967;1.0032;5;44;C;41.31
14;WF4;100:00:00;2.1108;2mgChem80s;12 149;20 243;0.967;1.0032;5;44;N;16.94
15;WF4;100:00:00;2.1108;2mgChem80s;12 149;20 243;0.967;1.0032;5;44;CN_ratio;2.4384
16;WF28;100:00:00;2.0475;2mgChem80s;7 786;19 604;0.967;1.0032;6;41;C;41.25
17;WF28;100:00:00;2.0475;2mgChem80s;7 786;19 604;0.967;1.0032;6;41;N;11.23
18;WF28;100:00:00;2.0475;2mgChem80s;7 786;19 604;0.967;1.0032;6;41;CN_ratio;3.6729
19;WF7;100:00:00;2.538;2mgChem80s;10 795;32 681;0.967;1.0032;7;47;C;55.29
20;WF7;100:00:00;2.538;2mgChem80s;10 795;32 681;0.967;1.0032;7;47;N;12.53
21;WF7;100:00:00;2.538;2mgChem80s;10 795;32 681;0.967;1.0032;7;47;CN_ratio;4.4121
22;WF4;100:00:00;2.713;2mgChem80s;13 704;21 323;0.967;1.0032;8;44;C;33.84
23;WF4;100:00:00;2.713;2mgChem80s;13 704;21 323;0.967;1.0032;8;44;N;14.85
24;WF4;100:00:00;2.713;2mgChem80s;13 704;21 323;0.967;1.0032;8;44;CN_ratio;2.2787
25;WF28;100:00:00;2.7637;2mgChem80s;12 696;27 649;0.967;1.0032;9;41;C;43.01
26;WF28;100:00:00;2.7637;2mgChem80s;12 696;27 649;0.967;1.0032;9;41;N;13.52
27;WF28;100:00:00;2.7637;2mgChem80s;12 696;27 649;0.967;1.0032;9;41;CN_ratio;3.1818
28;W27;100:00:00;2.1724;2mgChem80s;11 096;21 295;0.967;1.0032;10;20;C;42.21
29;W27;100:00:00;2.1724;2mgChem80s;11 096;21 295;0.967;1.0032;10;20;N;15.05
30;W27;100:00:00;2.1724;2mgChem80s;11 096;21 295;0.967;1.0032;10;20;CN_ratio;2.8056
31;W18;100:00:00;4.0744;2mgChem80s;31 714;35 485;0.967;1.0032;11;17;C;37.37
32;W18;100:00:00;4.0744;2mgChem80s;31 714;35 485;0.967;1.0032;11;17;N;22.8
33;W18;100:00:00;4.0744;2mgChem80s;31 714;35 485;0.967;1.0032;11;17;CN_ratio;1.6392
34;WL1;100:00:00;2.753;2mgChem80s;14 571;27 969;0.967;1.0032;12;50;C;43.67
35;WL1;100:00:00;2.753;2mgChem80s;14 571;27 969;0.967;1.0032;12;50;N;15.55
36;WL1;100:00:00;2.753;2mgChem80s;14 571;27 969;0.967;1.0032;12;50;CN_ratio;2.8076
37;SP2;100:00:00;3.2533;2mgChem80s;16 622;30 761;0.967;1.0032;13;3;C;40.62
38;SP2;100:00:00;3.2533;2mgChem80s;16 622;30 761;0.967;1.0032;13;3;N;15
39;SP2;100:00:00;3.2533;2mgChem80s;16 622;30 761;0.967;1.0032;13;3;CN_ratio;2.7081
40;SP9;100:00:00;3.359;2mgChem80s;18 675;32 002;0.967;1.0032;14;9;C;40.91
41;SP9;100:00:00;3.359;2mgChem80s;18 675;32 002;0.967;1.0032;14;9;N;16.31
42;SP9;100:00:00;3.359;2mgChem80s;18 675;32 002;0.967;1.0032;14;9;CN_ratio;2.5093
43;SP9;100:00:00;2.5747;2mgChem80s;10 899;29 107;0.967;1.0032;15;9;C;48.58
44;SP9;100:00:00;2.5747;2mgChem80s;10 899;29 107;0.967;1.0032;15;9;N;12.47
45;SP9;100:00:00;2.5747;2mgChem80s;10 899;29 107;0.967;1.0032;15;9;CN_ratio;3.8955
46;WF22;80:10:10;4.6579;2mgChem80s;27 642;44 210;0.967;1.0032;16;39;C;40.67
47;WF22;80:10:10;4.6579;2mgChem80s;27 642;44 210;0.967;1.0032;16;39;N;17.37
48;WF22;80:10:10;4.6579;2mgChem80s;27 642;44 210;0.967;1.0032;16;39;CN_ratio;2.3406
49;WF22;80:10:10;1.1021;2mgChem80s;6 331;10 491;0.967;1.0032;17;39;C;41.15
50;WF22;80:10:10;1.1021;2mgChem80s;6 331;10 491;0.967;1.0032;17;39;N;16.99
51;WF22;80:10:10;1.1021;2mgChem80s;6 331;10 491;0.967;1.0032;17;39;CN_ratio;2.4223
52;WF17;80:10:10;1.9761;2mgChem80s;8 858;21 529;0.967;1.0032;18;35;C;46.91
53;WF17;80:10:10;1.9761;2mgChem80s;8 858;21 529;0.967;1.0032;18;35;N;13.23
54;WF17;80:10:10;1.9761;2mgChem80s;8 858;21 529;0.967;1.0032;18;35;CN_ratio;3.5466
55;W6;80:10:10;2.2825;2mgChem80s;14 984;20 515;0.967;1.0032;19;25;C;38.71
56;W6;80:10:10;2.2825;2mgChem80s;14 984;20 515;0.967;1.0032;19;25;N;19.29
57;W6;80:10:10;2.2825;2mgChem80s;14 984;20 515;0.967;1.0032;19;25;CN_ratio;2.0071
58;WF19;80:10:10;2.3745;2mgChem80s;14 953;22 892;0.967;1.0032;20;37;C;41.5
59;WF19;80:10:10;2.3745;2mgChem80s;14 953;22 892;0.967;1.0032;20;37;N;18.5
60;WF19;80:10:10;2.3745;2mgChem80s;14 953;22 892;0.967;1.0032;20;37;CN_ratio;2.2427
61;WF17;80:10:10;1.7269;2mgChem80s;12 506;15 795;0.967;1.0032;21;35;C;39.45
62;WF17;80:10:10;1.7269;2mgChem80s;12 506;15 795;0.967;1.0032;21;35;N;21.31
63;WF17;80:10:10;1.7269;2mgChem80s;12 506;15 795;0.967;1.0032;21;35;CN_ratio;1.8514
64;WF5;80:10:10;2.4819;2mgChem80s;13 227;25 315;0.967;1.0032;22;45;C;43.87
65;WF5;80:10:10;2.4819;2mgChem80s;13 227;25 315;0.967;1.0032;22;45;N;15.68
66;WF5;80:10:10;2.4819;2mgChem80s;13 227;25 315;0.967;1.0032;22;45;CN_ratio;2.7989
67;WF14;80:10:10;2.1636;2mgChem80s;11 920;20 492;0.967;1.0032;23;32;C;40.79
68;WF14;80:10:10;2.1636;2mgChem80s;11 920;20 492;0.967;1.0032;23;32;N;16.22
69;WF14;80:10:10;2.1636;2mgChem80s;11 920;20 492;0.967;1.0032;23;32;CN_ratio;2.5152
70;WF5;80:10:10;1.8852;2mgChem80s;8 709;18 663;0.967;1.0032;24;45;C;42.66
71;WF5;80:10:10;1.8852;2mgChem80s;8 709;18 663;0.967;1.0032;24;45;N;13.63
72;WF5;80:10:10;1.8852;2mgChem80s;8 709;18 663;0.967;1.0032;24;45;CN_ratio;3.1294
73;W30;80:10:10;2.7043;2mgChem80s;15 192;26 522;0.967;1.0032;25;22;C;42.17
74;W30;80:10:10;2.7043;2mgChem80s;15 192;26 522;0.967;1.0032;25;22;N;16.5
75;W30;80:10:10;2.7043;2mgChem80s;15 192;26 522;0.967;1.0032;25;22;CN_ratio;2.5554
76;W10;80:10:10;2.8004;2mgChem80s;9 007;30 583;0.967;1.0032;26;11;C;46.91
77;W10;80:10:10;2.8004;2mgChem80s;9 007;30 583;0.967;1.0032;26;11;N;9.49
78;W10;80:10:10;2.8004;2mgChem80s;9 007;30 583;0.967;1.0032;26;11;CN_ratio;4.9438
79;W4;80:10:10;2.9226;2mgChem80s;16 115;28 792;0.967;1.0032;27;23;C;42.34
80;W4;80:10:10;2.9226;2mgChem80s;16 115;28 792;0.967;1.0032;27;23;N;16.19
81;W4;80:10:10;2.9226;2mgChem80s;16 115;28 792;0.967;1.0032;27;23;CN_ratio;2.6151
82;W4;80:10:10;1.9918;2mgChem80s;9 217;20 297;0.967;1.0032;28;23;C;43.89
83;W4;80:10:10;1.9918;2mgChem80s;9 217;20 297;0.967;1.0032;28;23;N;13.65
84;W4;80:10:10;1.9918;2mgChem80s;9 217;20 297;0.967;1.0032;28;23;CN_ratio;3.2155
85;W30;80:10:10;3.2542;2mgChem80s;17 854;32 834;0.967;1.0032;29;22;C;43.32
86;W30;80:10:10;3.2542;2mgChem80s;17 854;32 834;0.967;1.0032;29;22;N;16.1
87;W30;80:10:10;3.2542;2mgChem80s;17 854;32 834;0.967;1.0032;29;22;CN_ratio;2.6915
88;WL3;80:10:10;3.4902;2mgChem80s;20 842;33 987;0.967;1.0032;30;52;C;41.8
89;WL3;80:10:10;3.4902;2mgChem80s;20 842;33 987;0.967;1.0032;30;52;N;17.5
90;WL3;80:10:10;3.4902;2mgChem80s;20 842;33 987;0.967;1.0032;30;52;CN_ratio;2.3887
91;SP1;80:10:10;4.7444;2mgChem80s;27 901;45 381;0.967;1.0032;31;1;C;40.97
92;SP1;80:10:10;4.7444;2mgChem80s;27 901;45 381;0.967;1.0032;31;1;N;17.22
93;SP1;80:10:10;4.7444;2mgChem80s;27 901;45 381;0.967;1.0032;31;1;CN_ratio;2.3798
94;WF8;80:10:10;3.4952;2mgChem80s;20 288;35 746;0.967;1.0032;32;48;C;43.89
95;WF8;80:10:10;3.4952;2mgChem80s;20 288;35 746;0.967;1.0032;32;48;N;17.01
96;WF8;80:10:10;3.4952;2mgChem80s;20 288;35 746;0.967;1.0032;32;48;CN_ratio;2.5795
97;WF8;80:10:10;3.292;2mgChem80s;17 132;34 220;0.967;1.0032;33;48;C;44.62
98;WF8;80:10:10;3.292;2mgChem80s;17 132;34 220;0.967;1.0032;33;48;N;15.27
99;WF8;80:10:10;3.292;2mgChem80s;17 132;34 220;0.967;1.0032;33;48;CN_ratio;2.9215
100;SP4;80:10:10;3.5715;2mgChem80s;22 971;34 227;0.967;1.0032;34;5;C;41.14
101;SP4;80:10:10;3.5715;2mgChem80s;22 971;34 227;0.967;1.0032;34;5;N;18.84
102;SP4;80:10:10;3.5715;2mgChem80s;22 971;34 227;0.967;1.0032;34;5;CN_ratio;2.1837
103;WF18;60:20:20;1.2952;2mgChem80s;5 461;12 867;0.967;1.0032;35;36;C;42.9
104;WF18;60:20:20;1.2952;2mgChem80s;5 461;12 867;0.967;1.0032;35;36;N;12.48
105;WF18;60:20:20;1.2952;2mgChem80s;5 461;12 867;0.967;1.0032;35;36;CN_ratio;3.4382
106;W11;60:20:20;2.6897;2mgChem80s;16 323;26 184;0.967;1.0032;36;12;C;41.86
107;W11;60:20:20;2.6897;2mgChem80s;16 323;26 184;0.967;1.0032;36;12;N;17.82
108;W11;60:20:20;2.6897;2mgChem80s;16 323;26 184;0.967;1.0032;36;12;CN_ratio;2.3497
109;WF18;60:20:20;1.791;2mgChem80s;7 507;18 729;0.967;1.0032;37;36;C;45.07
110;WF18;60:20:20;1.791;2mgChem80s;7 507;18 729;0.967;1.0032;37;36;N;12.38
111;WF18;60:20:20;1.791;2mgChem80s;7 507;18 729;0.967;1.0032;37;36;CN_ratio;3.6395
112;WF3;60:20:20;2.5408;2mgChem80s;13 544;25 113;0.967;1.0032;38;43;C;42.52
113;WF3;60:20:20;2.5408;2mgChem80s;13 544;25 113;0.967;1.0032;38;43;N;15.68
114;WF3;60:20:20;2.5408;2mgChem80s;13 544;25 113;0.967;1.0032;38;43;CN_ratio;2.7123
115;WF29;60:20:20;1.8071;2mgChem80s;11 205;26 687;0.967;1.0032;39;42;C;63.5
116;WF29;60:20:20;1.8071;2mgChem80s;11 205;26 687;0.967;1.0032;39;42;N;18.26
117;WF29;60:20:20;1.8071;2mgChem80s;11 205;26 687;0.967;1.0032;39;42;CN_ratio;3.477
118;W11;60:20:20;1.7744;2mgChem80s;7 360;18 042;0.967;1.0032;40;12;C;43.83
119;W11;60:20:20;1.7744;2mgChem80s;7 360;18 042;0.967;1.0032;40;12;N;12.25
120;W11;60:20:20;1.7744;2mgChem80s;7 360;18 042;0.967;1.0032;40;12;CN_ratio;3.5764
121;W16;60:20:20;3.0797;2mgChem80s;19 407;29 589;0.967;1.0032;41;15;C;41.28
122;W16;60:20:20;3.0797;2mgChem80s;19 407;29 589;0.967;1.0032;41;15;N;18.48
123;W16;60:20:20;3.0797;2mgChem80s;19 407;29 589;0.967;1.0032;41;15;CN_ratio;2.2345
124;W16;60:20:20;1.5558;2mgChem80s;7 879;15 077;0.967;1.0032;42;15;C;41.81
125;W16;60:20:20;1.5558;2mgChem80s;7 879;15 077;0.967;1.0032;42;15;N;14.96
126;W16;60:20:20;1.5558;2mgChem80s;7 879;15 077;0.967;1.0032;42;15;CN_ratio;2.7958
127;WF27;60:20:20;4.8225;2mgChem80s;24 406;50 258;0.967;1.0032;43;40;C;44.61
128;WF27;60:20:20;4.8225;2mgChem80s;24 406;50 258;0.967;1.0032;43;40;N;14.82
129;WF27;60:20:20;4.8225;2mgChem80s;24 406;50 258;0.967;1.0032;43;40;CN_ratio;3.0103
130;W1;60:20:20;4.8983;2mgChem80s;22 319;53 769;0.967;1.0032;44;10;C;46.97
131;W1;60:20:20;4.8983;2mgChem80s;22 319;53 769;0.967;1.0032;44;10;N;13.35
132;W1;60:20:20;4.8983;2mgChem80s;22 319;53 769;0.967;1.0032;44;10;CN_ratio;3.5188
133;W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;0.967;1.0032;45;21;C;46.63
134;W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;0.967;1.0032;45;21;N;10.85
135;W29;60:20:20;3.6476;2mgChem80s;13 456;39 671;0.967;1.0032;45;21;CN_ratio;4.2986
136;W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;0.967;1.0032;46;21;C;42.3
137;W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;0.967;1.0032;46;21;N;14.79
138;W29;60:20:20;1.4676;2mgChem80s;7 349;14 383;0.967;1.0032;46;21;CN_ratio;2.8589
139;W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;0.967;1.0032;47;14;C;43.03
140;W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;0.967;1.0032;47;14;N;15.59
141;W14;60:20:20;2.3324;2mgChem80s;12 356;23 321;0.967;1.0032;47;14;CN_ratio;2.7601
142;W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;0.967;1.0032;48;24;C;45.33
143;W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;0.967;1.0032;48;24;N;14.39
144;W5;60:20:20;2.2871;2mgChem80s;11 174;24 093;0.967;1.0032;48;24;CN_ratio;3.1498
145;WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;0.967;1.0032;49;38;C;43.95
146;WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;0.967;1.0032;49;38;N;11.75
147;WF20;60:20:20;2.9668;2mgChem80s;11 841;30 349;0.967;1.0032;49;38;CN_ratio;3.7401
148;WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;0.967;1.0032;50;51;C;40.31
149;WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;0.967;1.0032;50;51;N;18.31
150;WL2;60:20:20;1.9735;2mgChem80s;12 278;18 456;0.967;1.0032;50;51;CN_ratio;2.2012
151;SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;0.967;1.0032;51;2;C;44.91
152;SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;0.967;1.0032;51;2;N;15.13
153;SP10;60:20:20;4.3198;2mgChem80s;22 305;45 292;0.967;1.0032;51;2;CN_ratio;2.9694
154;SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;0.967;1.0032;52;4;C;42.03
155;SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;0.967;1.0032;52;4;N;13.25
156;SP3;60:20:20;4.6276;2mgChem80s;20 929;45 407;0.967;1.0032;52;4;CN_ratio;3.1714
157;SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;0.967;1.0032;53;6;C;42.83
158;SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;0.967;1.0032;53;6;N;17.17
159;SP5;60:20:20;4.271;2mgChem80s;25 050;42 681;0.967;1.0032;53;6;CN_ratio;2.4938
160;WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;0.967;1.0032;54;46;C;45.37
161;WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;0.967;1.0032;54;46;N;12.84
162;WF6;10:45:45;4.4857;2mgChem80s;19 640;47 527;0.967;1.0032;54;46;CN_ratio;3.5347
163;WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;0.967;1.0032;55;31;C;44.64
164;WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;0.967;1.0032;55;31;N;12.06
165;WF13;10:45:45;3.227;2mgChem80s;13 230;33 553;0.967;1.0032;55;31;CN_ratio;3.7017
166;WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;0.967;1.0032;56;31;C;48.11
167;WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;0.967;1.0032;56;31;N;10.45
168;WF13;10:45:45;2.1843;2mgChem80s;7 725;24 425;0.967;1.0032;56;31;CN_ratio;4.6058
169;WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;0.967;1.0032;57;46;C;46.59
170;WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;0.967;1.0032;57;46;N;9.59
171;WF6;10:45:45;2.6404;2mgChem80s;8 576;28 622;0.967;1.0032;57;46;CN_ratio;4.8599
172;WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;0.967;1.0032;58;28;C;28.42
173;WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;0.967;1.0032;58;28;N;9.91
174;WF1;10:45:45;3.0511;2mgChem80s;10 260;20 127;0.967;1.0032;58;28;CN_ratio;2.8669
175;WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;0.967;1.0032;59;30;C;41.2
176;WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;0.967;1.0032;59;30;N;15.19
177;WF11;10:45:45;2.5304;2mgChem80s;13 070;24 231;0.967;1.0032;59;30;CN_ratio;2.7118
178;WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;0.967;1.0032;60;33;C;47.84
179;WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;0.967;1.0032;60;33;N;13.21
180;WF15;10:45:45;1.9419;2mgChem80s;8 695;21 574;0.967;1.0032;60;33;CN_ratio;3.6201
181;WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;0.967;1.0032;61;33;C;47.75
182;WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;0.967;1.0032;61;33;N;13.04
183;WF15;10:45:45;2.8959;2mgChem80s;12 835;32 202;0.967;1.0032;61;33;CN_ratio;3.6621
184;WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;0.967;1.0032;62;28;C;48.19
185;WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;0.967;1.0032;62;28;N;11.87
186;WF1;10:45:45;1.2272;2mgChem80s;4 920;13 699;0.967;1.0032;62;28;CN_ratio;4.06
187;W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;0.967;1.0032;63;13;C;46.62
188;W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;0.967;1.0032;63;13;N;11.62
189;W12;10:45:45;1.3044;2mgChem80s;5 120;14 088;0.967;1.0032;63;13;CN_ratio;4.0122
190;W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;0.967;1.0032;64;19;C;46.57
191;W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;0.967;1.0032;64;19;N;11.43
192;W2;10:45:45;1.5571;2mgChem80s;6 015;16 817;0.967;1.0032;64;19;CN_ratio;4.0759
193;W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;0.967;1.0032;65;13;C;41.68
194;W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;0.967;1.0032;65;13;N;17.13
195;W12;10:45:45;2.5988;2mgChem80s;15 154;25 181;0.967;1.0032;65;13;CN_ratio;2.4331
196;W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;0.967;1.0032;66;18;C;44.29
197;W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;0.967;1.0032;66;18;N;8.4
198;W19;10:45:45;3.1952;2mgChem80s;9 102;32 958;0.967;1.0032;66;18;CN_ratio;5.2698
199;W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;0.967;1.0032;67;18;C;48.25
200;W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;0.967;1.0032;67;18;N;8.52
201;W19;10:45:45;1.6778;2mgChem80s;4 829;18 787;0.967;1.0032;67;18;CN_ratio;5.6626
202;W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;0.967;1.0032;68;27;C;53.62
203;W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;0.967;1.0032;68;27;N;9.72
204;W9;10:45:45;1.6652;2mgChem80s;5 468;20 733;0.967;1.0032;68;27;CN_ratio;5.5185
205;W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;0.967;1.0032;69;26;C;49.49
206;W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;0.967;1.0032;69;26;N;13.13
207;W8;10:45:45;3.9729;2mgChem80s;17 786;45 904;0.967;1.0032;69;26;CN_ratio;3.768
208;WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;0.967;1.0032;70;49;C;46.56
209;WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;0.967;1.0032;70;49;N;14.15
210;WF9;10:45:45;2.508;2mgChem80s;12 052;27 159;0.967;1.0032;70;49;CN_ratio;3.2914
211;W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;0.967;1.0032;71;26;C;45.67
212;W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;0.967;1.0032;71;26;N;12.6
213;W8;10:45:45;4.3012;2mgChem80s;18 478;45 862;0.967;1.0032;71;26;CN_ratio;3.6247
214;SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;0.967;1.0032;72;8;C;45.85
215;SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;0.967;1.0032;72;8;N;13.06
216;SP8;10:45:45;3.3404;2mgChem80s;14 846;35 689;0.967;1.0032;72;8;CN_ratio;3.5107
217;SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;0.967;1.0032;73;7;C;46.34
218;SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;0.967;1.0032;73;7;N;11.41
219;SP7;10:45:45;4.8372;2mgChem80s;18 828;52 381;0.967;1.0032;73;7;CN_ratio;4.0598
220;SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;0.967;1.0032;74;8;C;51.52
221;SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;0.967;1.0032;74;8;N;9.86
222;SP8;10:45:45;3.8055;2mgChem80s;12 752;45 776;0.967;1.0032;74;8;CN_ratio;5.226
223;SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;0.967;1.0032;75;8;C;49.55
224;SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;0.967;1.0032;75;8;N;11.55
225;SP8;10:45:45;3.2235;2mgChem80s;12 655;37 235;0.967;1.0032;75;8;CN_ratio;4.2897
226;SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;0.967;1.0032;76;8;C;46.14
227;SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;0.967;1.0032;76;8;N;12.33
228;SP8;10:45:45;4.7841;2mgChem80s;20 120;51 582;0.967;1.0032;76;8;CN_ratio;3.7433
229;SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;0.967;1.0032;77;8;C;52.46
230;SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;0.967;1.0032;77;8;N;9.99
231;SP8;10:45:45;1.4882;2mgChem80s;5 020;18 112;0.967;1.0032;77;8;CN_ratio;5.2534
