Cricket;Treatment;Weight (mg);Method;N Area;C Area;N%;C%;C/N ;N Factor;C Factor;CrickWetMass;CrckEstDry;MassN;MassC;;;;;
C244;100:00:00;3.1184;2mgChem80s;13 455;32 050;13.1;43.95;3.3562;0.998;0.999;0.1043;0.0247008;0.003235805;0.010856002;;;;;
C513;100:00:00;1.4153;2mgChem80s;6 177;16 370;13.32;49.67;3.7289;0.998;0.999;0.1068;0.0253408;0.003375395;0.012586775;;;;;
C331;100:00:00;1.317;2mgChem80s;5 291;15 175;12.27;49.5;4.0342;0.998;0.999;0.1609;0.0391904;0.004808662;0.019399248;;;;;
C241;100:00:00;2.6961;2mgChem80s;11 501;29 674;12.96;47.09;3.6325;0.998;0.999;0.1217;0.0291552;0.003778514;0.013729184;;;;;
C154;100:00:00;4.7621;2mgChem80s;21 601;51 381;13.72;45.98;3.3527;0.998;0.999;0.0916;0.0214496;0.002942885;0.009862526;;;;;
C158;100:00:00;2.8661;2mgChem80s;12 156;31 658;12.88;47.24;3.6666;0.998;0.999;0.2088;0.0514528;0.006627121;0.024306303;;;;;
C242;100:00:00;2.9476;2mgChem80s;12 486;33 863;12.86;49.11;3.8173;0.998;0.999;0.0871;0.0202976;0.002610271;0.009968151;;;;;
C337;100:00:00;1.4566;2mgChem80s;6 045;15 805;12.67;46.61;3.6791;0.998;0.999;0.125;0.03;0.003801;0.013983;;;;;
C425;100:00:00;4.5767;2mgChem80s;19 436;49 962;12.85;46.53;3.6214;0.998;0.999;0.1462;0.0354272;0.004552395;0.016484276;;;;;
C599;100:00:00;2.5108;2mgChem80s;12 425;26 581;15.03;45.33;3.0161;0.998;0.999;0.1649;0.0402144;0.006044224;0.018229188;;;;;
C601;100:00:00;3.3273;2mgChem80s;15 859;34 573;14.45;44.41;3.0743;0.998;0.999;0.1741;0.0425696;0.006151307;0.018905159;;;;;
C18;100:00:00;3.9965;2mgChem80s;17 403;43 000;13.19;45.91;3.4816;0.998;0.999;0.198;0.048688;0.006421947;0.022352661;;;;;
C419;100:00:00;2.6779;2mgChem80s;11 934;29 166;13.54;46.61;3.4422;0.998;0.999;0.1829;0.0448224;0.006068953;0.020891721;;;;;
C22;100:00:00;3.7562;2mgChem80s;16 421;40 430;13.25;45.95;3.4692;0.998;0.999;0.1863;0.0456928;0.006054296;0.020995842;;;;;
C19;100:00:00;2.5817;2mgChem80s;11 562;28 436;13.61;47.14;3.4637;0.998;0.999;0.1185;0.028336;0.00385653;0.01335759;;;;;
C608;80:10:10;3.4023;2mgChem80s;14 283;36 977;12.73;46.43;3.6458;0.998;0.999;0.2077;0.0511712;0.006514094;0.023758788;;;;;
C616;80:10:10;2.7323;2mgChem80s;11 370;30 116;12.65;47.16;3.7283;0.998;0.999;0.1028;0.0243168;0.003076075;0.011467803;;;;;
C435;80:10:10;3.5461;2mgChem80s;15 451;38 873;13.21;46.81;3.5442;0.998;0.999;0.1897;0.0465632;0.006150999;0.021796234;;;;;
C348;80:10:10;1.9891;2mgChem80s;7 766;23 550;11.9;50.74;4.2633;0.998;0.999;0.1633;0.0398048;0.004736771;0.020196956;;;;;
C432;80:10:10;4.8352;2mgChem80s;21 560;51 950;13.48;45.79;3.396;0.998;0.999;0.1839;0.0450784;0.006076568;0.020641399;;;;;
C614;80:10:10;1.3253;2mgChem80s;5 610;15 069;12.93;48.85;3.7794;0.998;0.999;0.188;0.046128;0.00596435;0.022533528;;;;;
C523;80:10:10;1.6741;2mgChem80s;7 182;17 102;13.08;43.86;3.3526;0.998;0.999;0.0836;0.0194016;0.002537729;0.008509542;;;;;
C526;80:10:10;1.2264;2mgChem80s;4 698;14 496;11.71;50.8;4.3391;0.998;0.999;0.162;0.039472;0.004622171;0.020051776;;;;;
C345;80:10:10;1.4585;2mgChem80s;5 982;16 266;12.52;47.9;3.8255;0.998;0.999;0.154;0.037424;0.004685485;0.017926096;;;;;
C342;80:10:10;1.5765;2mgChem80s;6 523;18 083;12.63;49.23;3.8996;0.998;0.999;0.1278;0.0307168;0.003879532;0.015121881;;;;;
C521;80:10:10;2.005;2mgChem80s;8 622;21 929;13.1;46.89;3.5799;0.998;0.999;0.1096;0.0260576;0.003413546;0.012218409;;;;;
C615;80:10:10;1.3078;2mgChem80s;5 497;14 807;12.84;48.65;3.79;0.998;0.999;0.1221;0.0292576;0.003756676;0.014233822;;;;;
C658;80:10:10;4.6778;2mgChem80s;22 236;51 317;14.37;46.75;3.2534;0.998;0.999;0.1355;0.032688;0.004697266;0.01528164;;;;;
C653;80:10:10;2.4454;2mgChem80s;10 806;27 695;13.44;48.48;3.6081;0.998;0.999;0.1652;0.0402912;0.005415137;0.019533174;;;;;
C431;80:10:10;3.9385;2mgChem80s;17 234;42 860;13.25;46.44;3.5041;0.998;0.999;0.1371;0.0330976;0.004385432;0.015370525;;;;;
C40;60:20:20;2.5833;2mgChem80s;14 681;52 599;16.7;87.13;5.2173;0.967;1.0032;0.1792;0.0438752;0.007327158;0.038228462;;;;;
C618;60:20:20;1.8847;2mgChem80s;7 255;21 691;11.74;49.35;4.2037;0.998;0.999;0.1809;0.0443104;0.005202041;0.021867182;;;;;
C180;60:20:20;2.6451;2mgChem80s;11 236;30 444;12.51;49.45;3.952;0.967;1.0032;0.1377;0.0332512;0.004159725;0.016442718;;;;;
C45;60:20:20;2.1013;2mgChem80s;8 294;23 638;11.65;48.41;4.1544;0.967;1.0032;0.2107;0.0519392;0.006050917;0.025143767;;;;;
C177;60:20:20;2.1422;2mgChem80s;8 733;24 315;12.03;48.84;4.0593;0.967;1.0032;0.1927;0.0473312;0.005693943;0.023116558;;;;;
C617;60:20:20;4.7271;2mgChem80s;20 487;50 646;12.7;45.86;3.6104;0.967;1.0032;0.1846;0.0452576;0.005747715;0.020755135;;;;;
C352;60:20:20;2.6656;2mgChem80s;10 616;31 009;11.74;49.97;4.2579;0.967;1.0032;0.1116;0.0265696;0.003119271;0.013276829;;;;;
C355;60:20:20;4.3413;2mgChem80s;17 381;52 098;11.75;51.36;4.3714;0.967;1.0032;0.1732;0.0423392;0.004974856;0.021745413;;;;;
C257;60:20:20;4.4348;2mgChem80s;10 070;30 097;6.69;29.16;4.3559;0.967;1.0032;0.1987;0.0488672;0.003269216;0.014249676;;;;;
C446;60:20:20;3.3864;2mgChem80s;14 526;37 823;12.61;47.91;3.8003;0.967;1.0032;0.1387;0.0335072;0.004225258;0.0160533;;;;;
C261;60:20:20;4.6901;2mgChem80s;19 419;52 936;12.14;48.3;3.9786;0.967;1.0032;0.1195;0.028592;0.003471069;0.013809936;;;;;
C624;60:20:20;2.44;2mgChem80s;10 577;27 366;12.77;48.22;3.7747;0.967;1.0032;0.1663;0.0405728;0.005181147;0.019564204;;;;;
C530;60:20:20;3.8554;2mgChem80s;13 991;46 633;10.67;51.8;4.8557;0.967;1.0032;0.2046;0.0503776;0.00537529;0.026095597;;;;;
C258;60:20:20;4.6873;2mgChem80s;20 194;51 606;12.63;47.12;3.7314;0.967;1.0032;0.0758;0.0174048;0.002198226;0.008201142;;;;;
C625;60:20:20;4.8379;2mgChem80s;21 345;53 963;12.93;47.72;3.6916;0.967;1.0032;0.2279;0.0563424;0.007285072;0.026886593;;;;;
C349;60:20:20;2.8647;2mgChem80s;11 909;32 190;12.24;48.25;3.9429;0.967;1.0032;0.1552;0.0377312;0.004618299;0.018205304;;;;;
C541;10:45:45;2.2417;2mgChem80s;7 755;26 689;10.22;51.19;5.0104;0.967;1.0032;0.1507;0.0365792;0.003738394;0.018724892;;;;;
C452;10:45:45;4.2505;2mgChem80s;13 032;53 063;9.02;53.42;5.9229;0.967;1.0032;0.1978;0.0486368;0.004387039;0.025981779;;;;;
C276;10:45:45;2.9867;2mgChem80s;8 972;38 027;8.86;54.61;6.1613;0.967;1.0032;0.1104;0.0262624;0.002326849;0.014341897;;;;;
C54;10:45:45;1.9681;2mgChem80s;6 165;22 920;9.26;50.13;5.4107;0.967;1.0032;0.1546;0.0375776;0.003479686;0.018837651;;;;;
C634;10:45:45;1.0882;2mgChem80s;3 589;12 638;9.78;50.15;5.1297;0.967;1.0032;0.1054;0.0249824;0.002443279;0.012528674;;;;;
C363;10:45:45;2.9774;2mgChem80s;8 023;37 750;7.96;54.38;6.8349;0.967;1.0032;0.1172;0.0280032;0.002229055;0.01522814;;;;;
C271;10:45:45;2.708;2mgChem80s;9 499;32 454;10.35;51.46;4.9744;0.967;1.0032;0.1345;0.032432;0.003356712;0.016689507;;;;;
C55;10:45:45;4.4185;2mgChem80s;12 992;56 638;8.65;54.83;6.3386;0.967;1.0032;0.1576;0.0383456;0.003316894;0.021024892;;;;;
C458;10:45:45;2.226;2mgChem80s;8 466;25 916;11.23;50.07;4.4602;0.967;1.0032;0.0831;0.0192736;0.002164425;0.009650292;;;;;
C367;10:45:45;1.6238;2mgChem80s;6 664;18 297;12.13;48.57;4.0031;0.967;1.0032;0.1286;0.0309216;0.00375079;0.015018621;;;;;
C543;10:45:45;1.6956;2mgChem80s;5 766;19 380;10.06;49.25;4.895;0.967;1.0032;0.119;0.028464;0.002863478;0.01401852;;;;;
C457;10:45:45;2.0209;2mgChem80s;7 575;23 771;11.07;50.62;4.5714;0.967;1.0032;0.0962;0.0226272;0.002504831;0.011453889;;;;;
C274;10:45:45;1.4803;2mgChem80s;6 071;16 780;12.13;48.88;4.0297;0.967;1.0032;0.1246;0.0298976;0.003626579;0.014613947;;;;;
C542;10:45:45;4.4487;2mgChem80s;15 118;54 108;9.98;52.04;5.2122;0.967;1.0032;0.1428;0.0345568;0.003448769;0.017983359;;;;;
C630;10:45:45;2.5182;2mgChem80s;9 782;28 749;11.45;49.06;4.2837;0.967;1.0032;0.1697;0.0414432;0.004745246;0.020332034;;;;;
